Timestamp,v,message,name,discordID

9/27/2022 12:58:03,Millie,"Hi Millie! Thank you for such a wonderful year of streams, it's been nothing but a pleasure and an inspiration see how hard you always work, both on stream, and for volunteer work etc. I hope you always remember how much of a positive force you are in so many lives, we love you!",Parfait Operational Guidebook,bluns tower defense 64 #2232
9/27/2022 13:00:18,Enna,"Happy 1 Year Enna! Thank you for providing us koalitea content as always (˘ ˘ ˘)♡ Thank you for always making us smile, laugh and happy with your content. Let's walk on a flowery road together with Aloupeeps!  ପ(๑•ᴗ•๑)ଓ ♡",HibernatingMei,Mei#9260
9/27/2022 13:02:27,Enna,"Enner! Happy anniversary for Ethyriaaa~

This has been one eventful year hasn't it? You and we all have changed and grown so much in a year. 

You are so funny, your unhinged sense of humor is great and I love your beautiful voice. Keep up and thank you for being yourself~",Paku,Paku#5468
9/27/2022 13:04:08,Millie,Happy 1 year anniversary Millie! I am so happy I found you at random a year ago. You opened up me to Nijisanji and many friends I wouldn’t have without you. You are my kami-oshi and I will support you as long as I can! Bless you Millie Parfait! 🧡,Zer0Pendragon6,Zer0Pendragon6#2206
9/27/2022 13:07:34,Enna,Happy 1 year anniversary Enna! I am so proud of you for making it to one year and the progress you made opening up and collabing! I am proud of you birthday buddy! I hope the next year will be just as amazing and looking forward to supporting you!💙💜,Zer0Pendragon6,Zer0Pendragon6#2206
9/27/2022 13:08:41,Enna,"enna, you’ve brightened my day so much over the time you’ve spent with us. your personality and your humour are top tier. never change <3 ",rye,ryerye🕊#9530
9/27/2022 13:15:11,Millie,"Milliee you're one of the funniest streamer I've ever seen and experienced! But even tho you emit gremlin energy, you also have a lovable side when you sing or do ASMRs. I love your two sides cuz I love you as a whole person. Kahanga-hanga ka Millie!",Paku,Paku#5468
9/27/2022 13:17:23,Nina,"Mommy hello! Hope you have a good day~

It's been a year, thanks for all the entertainment you've brought and thank you for being earnest and funny! The love you show to everyone, may be rewarded with even more love your way!

Happy Ethyria anniversary!!",Paku,Paku#5468
9/27/2022 13:21:08,Reimu,"Hello Reiboo

Been quite the year! Thank you for your hard work and thank you for everything we (you & Phantomos) went through together! It was a fun ride, and we're looking forward for what the future has in store!

Happy Ethyria anniversary!

P.S: I love your sassy energy, slay queen",Paku,Paku#5468
9/27/2022 13:25:59,Millie,"Well boss, one year, eh? and all that time putting up with me, thanks and sorry, anyways, congrats for ur anniversary boss, thanks for all the good times, the laughs and so many moments in which u make me feel proud to have known u and support u, Love u boss a lot, as a friend~",RowJ,RowJ#4530
9/27/2022 13:35:10,Reimu,happy 1 year to my favourite ghost sweetheart!! thank you for filling this past year with so much love and laughter - your streams are always so fun and comfy! much love and hope that you'll be able to show off even more of your talents and receive even more love in the future <3,qian,jenjen#5970
9/27/2022 13:40:34,Millie,"happy 1 year millie! thank you for providing us with so much creative and fun content this year, and i'm looking forward to what you'll come up with next! really, thank you for all your efforts and for being a star that shines brighter than your destructive capabilities hehe",qian ,jenjen#5970
9/27/2022 13:53:12,Enna,"happy 1 year enna! your abilities an entertainer are truly a gem and one of a kind. thank you for also sharing your musical and artistic talents with us, which you have my deepest admiration for. hope your wings will continue to take you to even higher places in the future <3",qian ,jenjen#5970
9/27/2022 14:15:32,Millie,"Hi Millie! Watching you for an entire year has been a fantastic journey, filled with so, so much fun! Hope I'll be able to see you be your awesomely creative self for many more years because I don't doubt you'll be able to find countless new ways to make everyone laugh!",Chovek,Chovek#5631
9/27/2022 15:00:25,Enna,"Hello Enner, thank you for the amazing memories and songs i wish i was able to sing like you 🥲. You’ve been a nice impact on my life and your streams make my day so much better after work or a tough time. thank you for just being you. much love!!!",PastaLavista,pasta lavista baby#8760
9/27/2022 16:29:27,Enna,"Finally you made it to the 1st anniversary! I was inspired by your voice that i try doing vocal training! Omedetou our birb and the gang, looking forward to see you guys reaching greater heights! ",Reign Scarlet,Reign#5128
9/27/2022 16:50:10,Enna,Hope you have a great anniversary and have a big fat delicious cake to celebrate it. Love your sense of humour and may you stay as my oshi forever <3,Kimdred SD,kimmykoosh#5375
9/27/2022 17:53:18,Enna,"Wah, it's been a year already? Time does indeed fly when you are having fun, and fun is the most you've given us this whole year, alongside inspiration & motivation, I honestly can't say how much I appreciate everything you've done for us, but I hope that this alongside everyone's message shows you just a bit of the love we have for you, Happy one year anniversary Enna! And for many more to come!!!",Frank,Frank#7742
9/27/2022 17:58:30,Enna,"Enna, thank you so much for being you. You were my introduction to Nijisanji and I’m so glad I’m here. I love how you can just be you with no worries. Keep it up, we love you!!",Miraii Midford,Miraii #5101
9/27/2022 18:21:38,Enna,"Happy anniversary Enna!!! Your singing inspired me to try and hone my own voice, and I'm so grateful for it. Wishing you the best in everything that's to come ☺️",Senno,Senno#2434
9/27/2022 18:51:16,Enna,1 year pog!! i’m so proud of you and the rest of ethyria! I wish you the best of luck for the rest of the year!,LUX,rose me~!#6586
9/27/2022 18:52:35,Reimu,REIMU ILY! 1 YEAR ABSOLUTE POGGGG!! I WISH U THE BEST OF LUCK FOR THE REST OF THE YEAR!,LUX,rose me~!#6586
9/27/2022 18:55:17,Reimu,"Congratulations on your anniversary Reimu! You were one of the main reasons why I joined Nijisanji because I loved your humor, your taste and of course your Spanish (TQM Mija). Thanks for 1 year of fun and I hope you have many more!",JuanRey,JuanPerezRey#7617
9/27/2022 18:57:18,Enna,"Thank you, Enna, for the wonderful year us Aloupeeps have all had because of you. Seeing your stream notifications always makes me happy, even if I'm not able to watch. Here's to another year of Ethyria and Enna Alouette!",Kanatatat,crocsfan#0639
9/27/2022 19:04:47,Millie,Congrats on your anniversary Millie! I love how creative and fun you are. I love the different streams where you do different dynamics because they are the most fun and the ASMRs that have helped me study with more peace of mind. I hope you will be with us for many years to come!,JuanRey,JuanPerezRey#7617
9/27/2022 19:27:31,Enna,"Congratulations on your anniversary Enna! I love to see you playing different games, or making crafts or the karaokes, the different collabs and even the zatsudans. Thanks for all the amazing content you and the girls have given us in 1 year!",JuanRey,JuanPerezRey#7617
9/27/2022 19:32:18,Millie,"Dear Millie, Thank you for all the great memories this past year! The chaos you bring to your streams never fails to brighten up my day. I hope that you and the rest of Ethyria all have an amazing anniversary. Love you, po!",Bluetomson,Bluetomson#7091
9/27/2022 21:32:25,Millie,U hot Millie,sempeko ,lolpeko #5830
9/27/2022 22:39:43,Millie,"Happy Anniversary Millie and Ethyria! 

My favourite stream of yours is definitely the Undating stream. Shout out to other NijiEN members who made it possible and fun. I'm not sure if it's scripted or you guys just came up with it on the spot but I couldn't stop laughing. 

Thank you for all the fun times this past year. You're an inspiration to many and we look forward to another year and beyond. ",zappy1321,Zappy#4867
9/27/2022 23:04:40,Enna,"please keep on being the best pessimistic person there is, yay for one year",sakusureyia,Sakusureyia#7561
9/27/2022 23:55:25,Millie,MILLIE MY FAVORITE FILIPINA GIRL <3 I really admire you for your creativity when it comes to your content!! Please keep being YOU! Because we all love to see it <3 Luv u bebeghorl,azi,azi#9430
9/28/2022 1:19:18,Enna,sweet baby back ribs jesus girl you got me busting out my lungs several times this year from your streams. Keep doing what you're doing Enna and we aloupeeps will be there for every step. Happy 1 year anniversary!,k,kekkel#4875
9/28/2022 1:31:49,Millie,Congrats on one year Millie! It feels like yesterday where I stayed up a LOT later than I should've to keep up with the Ethyria banter. Thank you for giving me so many laughs this past year. Can't wait to keep supporting your wild antics and amazing singing! ,Obviebear,Obviebear#0001
9/28/2022 1:31:50,Millie,Hi Millie! I just want to say that I love you very much and you inspire me everyday!! Will you marry me??,Gia,ehe#1162
9/28/2022 1:40:33,Enna,Congrats on one year Enna! I don't think I have ever laughed as much as when I watch your streams or read your tweets so thank you. Thank you also for blessing my ears with your amazing singing. I will never not be in awe of your voice. Can't wait to see what you accomplish next!,Obviebear,Obviebear#0001
9/28/2022 2:56:50,Enna,"I wish the best and most wonderfull annyversary to the best songbird in the world Enna Alouette! You super funny, hardworking, extremely skilled both as a streamer and singer and all jokes aside you a super sweet person Glad to have meet you Enna and wish you eternal happyness o7","I would like it with my full name ""Gaston Mauricio Aguilar"" but also saying ""also known as ""Mauricio Aguilar"" or something like that just make sure people and them know thats my full name.",Mauricio Aguilar#8269
9/28/2022 6:11:39,Reimu,"Hello reimu! I just want you to know that you are my motivation in my acads, i always play your vod while i’m studying. Thank you for all your hardwork i’m really happy that i found you. 

P.S: Your angry latina voices never fail to make me laugh during my breakdown hours. I love you so so so much ",Kyuu,Nueve#2990
9/28/2022 6:14:02,Reimu,I love watching all your streams and they make me happy everyday I always go back i to the archives and watch past streams when you're not live to fee better thank you Reimufor being a great vtuba! 🤍,Kurumi,狂三#0022
9/28/2022 6:36:51,Millie,"Happy Anniversary Ethyria and to you, Ate Millie! Thank you for every content that you do on streams, esp the banter between you and us, Swagapinos. We love you! ","Your family relative ""Parfait""",Ae Lucienne #8798
9/28/2022 8:23:43,Millie,"Hi Millie, I always watch you when I'm down and you always manage to lift my mood up and make me laugh ! Thank you for the fun experience !",Kyzo,Kyzo#9850
9/28/2022 8:29:40,Enna,"Hi Enna, I often have your streams in the background while I work on something else and you never fail to make me laugh. I really love your singing as well, they're really beautiful",Kyzo,Kyzo#9850
